MlsId,MlsName,DateListed,StreetAddress,Price,Bedrooms,FullBathrooms,HalfBathrooms,ThreeQuarterBathrooms,Appliances,Rooms,Description
16968013,CLAW,2016-01-07,828 BALLARD CANYON RD,2879000.00,4,4,1,,"Range Hood,RangeOven","bedrooms,bathrooms","Meticulously maintained historic 5-acre horse ranch nestled in the wine country of the Santa Ynez Valley combines exquisite craftsmanship with an artful blend of rustic wood, warm stone, and bronze to"
16970871,CLAW,2016-01-20,6692 WILDLIFE RD,45000.00,5,6,,,"Built-In BBQ,Microwave,RangeOven,Cooktop - Gas,Double Oven","bedrooms,bathrooms","New Construction Point Dume Rental with coveted Beach Rights available immediately. This amazing, designer perfect, super private/secure home comes fully furnished and is available immediately. Book m"
316000525,ITECH,2016-02-04,845 Highland Drive,4699999.00,6,3,1,1,"RangeOven,Range Hood","bedrooms,bathrooms","Unbelievable custom home in the hills of La Canada Flintridge! The home sits peacefully on a multi-level 40,000+ square foot lot and is extremely private with beautiful views of the mountains. Enterta"
16106762,CLAW,2016-03-16,27086 MALIBU COVE COLONY DR,25000.00,3,3,1,,"Built-Ins,Microwave,RangeOven","bedrooms,bathrooms",Gorgeous oceanfront home with views to Point Dume and direct beach access. This beach house is ideal for entertaining with a kitchen open to a great room and ocean front deck. Possible fourth bedroom 
16109128,CLAW,2016-03-25,36 BREEZE AVE,6500.00,2,1,1,,"Built-Ins,Microwave,Built-In Gas,Cooktop - Gas,Double Oven,Range Hood","bedrooms,bathrooms","his designer, custom architectural remodel on the charming Breeze walk-street is the epitome of luxurious and efficient living. Walls of warm reclaimed wood line the architectural interior, while expa"
16114818,CLAW,2016-04-12,31652 BROAD BEACH RD,5800000.00,3,3,,,"Built-Ins,Range Hood,RangeOven","bedrooms,bathrooms","Welcome to an oasis over looking the Pacific Ocean, where crashing waves and vivid sunsets create the quintessential Beach living environment. The controlled access exterior entry sets the tone for th"
16118008,CLAW,2016-04-25,28011 PAQUET PL,6995000.00,5,4,,,"Built-In BBQ,RangeOven","bedrooms,bathrooms","Beautiful estate with panoramic ocean views located in the gated community of Ramirez Canyon. This 5 bed, 5 bath features an open floor plan with natural light and stunning ocean & mountain views thro"
16130744,CLAW,2016-06-02,32036 PACIFIC COAST HWY,2450000.00,0,,,,,,Build your Malibu dream home! Flat lot on almost one-half acre with pristine ocean views on the ocean side of PCH. Gated and private building site including deeded beach rights to one of the most beau
16132084,CLAW,2016-06-05,888 Blackmore DR,2888000.00,0,,,,,,This approx: 59 ACRE DEVELOPMENT SITE consists of SIX vacant lots. These lots sit on the back and the front side of a hill with a fire road running across the top part of the hill. The largest lot whi
16134756,CLAW,2016-06-14,24808 Woolsey Canyon RD,1298000.00,0,,,,,,"RESIDENTIAL DEVELOPMENT SITE: Consisting of 10 vacant lots on approx: 32 acres, with several BIG FLAT PADS and SWEEPING VALLEY VIEWS of San Fernando Valley, Warner Center and the Mountains. Reports ar"
16135516,CLAW,2016-06-16,7350 PACIFIC VIEW DR,2195000.00,3,3,,,"Built-Ins,Range Hood,RangeOven","bedrooms,bathrooms","Perched above a cul-de-sac in the Hollywood Hills, this Dramatic newly constructed home is of the highest quality. Steel, concrete and glass with a clean modern aesthetic and a bright inviting atmosph"
16137056,CLAW,2016-06-22,1422 SAN YSIDRO DR,2035000.00,2,2,,,"Range Hood,Microwave","bedrooms,bathrooms","Location,location,location. Located on one of BH's premier streets San Ysidro, this home is waiting for its next homeowner to put their magical touch on it. This home has 2 beds and 2 baths with an op"
316005809,ITECH,2016-06-22,64 North Arroyo Boulevard,919000.00,4,2,,1,,"bedrooms,bathrooms","Meticulously maintained light-filled townhouse in the Altos Arroyo complex is looking for its next owner. Main floor features hardwood flooring throughout, living room with vaulted ceilings and firepl"
316005875,ITECH,2016-06-22,899 Winston Avenue,2700000.00,4,3,1,,"Double Oven,Gas","bedrooms,bathrooms","Located on a quiet street in the desirable San Marino neighborhood, is this charming and cheerful traditional. It boasts 3 beds and 3 baths downstairs, and a private bedroom suite upstairs. Inviting c"
16137086,CLAW,2016-06-24,6225 GAYTON PL,3195000.00,4,4,1,,"Built-In BBQ,RangeOven","bedrooms,bathrooms",This beautiful 4 bedroom/4.5 bath is situated on approximately 1 acre with phenomenal mountain views in a tranquil setting and located in a gated community. The home offers a gourmet kitchen with gran
16142180,CLAW,2016-07-11,2317 Dickenson RD,20000000.00,3,2,1,,Built-In BBQ,"bedrooms,bathrooms","An hour outside of Los Angles with country and ocean views of Ojai sits Flying D Ranch. The ultimate ranch - surrounded by a seasonal creek and expansive terrain. Consisting of 1,281 acres and 7 parce"
316006132,ITECH,2016-07-15,1401 Via Del Rey,1988000.00,6,4,,1,"Built-Ins,Oven,RangeOven","bedrooms,bathrooms","Mid Century 1970's iconic Charles Wong designed South Pasadena home, filled with original character and charm, situated on a corner lot atop of Via del Rey, overlooking Pasadena, the Rose Bowl and a g"
16142204,CLAW,2016-07-21,514 LILLIAN WAY,1399000.00,3,1,,,Built-In Gas,"bedrooms,bathrooms","MOTIVATED SELLER! BRING US AN OFFER!! Perfectly situated between the Wilshire Country Club and the Los Angeles Tennis Club, come see this charming Spanish 3-bedroom house with central air and incredib"
16148546,CLAW,2016-07-29,29220 WAGON RD,2688000.00,6,5,,,"Built-In BBQ,Range Hood,Microwave,RangeOven","bedrooms,bathrooms","Perched atop a secluded promontory, this inspired contemporary compound is located within the exclusive gated community of Medea Valley Estates, optimally positioned between Malibu and Agoura Hills. O"
316007195,ITECH,2016-07-29,5215 Vista Miguel Drive,1848000.00,4,3,,,,"bedrooms,bathrooms",Quintessential Cape Cod style home located in a prime area of La Canada Flintridge. Fantastic family floor plan with sunlight-filled rooms throughout which flow seamlessly to an inviting veranda and e
16150318,CLAW,2016-08-05,27112 MALIBU COVE COLONY DR,20000.00,3,3,1,,"Range Hood,Microwave","bedrooms,bathrooms","This sleek and sexy beach house is located on a private guard-gated lane in the center of Malibu. Upon entry, the home immediately introduces you to the Pacific Ocean with a two story entry, walls of "
16150758,CLAW,2016-08-05,181 SURFVIEW DR,10815.00,4,3,1,,"Built-Ins,Microwave,RangeOven","bedrooms,bathrooms","Spectacular Contemporary with dramatic and architectural details. Exquisitely updated with fine attention to detail. Ocean view from most rooms, yard and decks. Gorgeous living/media room with bar are"
16151208,CLAW,2016-08-11,4960 VANALDEN AVE,3495000.00,7,4,1,1,"Built-In BBQ,Built-Ins,Range Hood,Microwave,RangeOven,Convection Oven,Cooktop - Gas,Double Oven,Gas,Oven-Gas","bedrooms,bathrooms","Designed by noted architect Gus Duffy and situated on approx 3/4's of an acre, this resort like estate defines the meaning of ""compound"". The Casa: Is a single story 4+3.5 home, beautiful in rich wood"
16153228,CLAW,2016-08-15,7135 HOLLYWOOD,650000.00,1,2,,,Built-Ins,"bedrooms,bathrooms","Hollywood Versailles Towers at it's best! Come see this hip, designer perfect condo in the fabulous, full-service building on Hollywood Boulevard! Bring your toothbrush and move in! This condo has a f"
316007701,ITECH,2016-08-15,82 Monterey Lane,879000.00,3,1,,1,"Built-In Electric,Microwave","bedrooms,bathrooms","Quaint Sierra Madre Traditional corner lot home on cul-de-sac street. Wonderful open and bright floor plan with 3 bedrooms, 2 bathrooms, and spacious family room that opens to the back yard. This home"
16154748,CLAW,2016-08-22,9640 SIERRA HWY,12800000.00,5,4,1,,RangeOven,"bedrooms,bathrooms","Just 35 miles outside of Los Angeles, Agua Dulce Winery is a breathtaking 90-acre property affording oenophiles the rarity of owning a countryside estate featuring a spacious 5-bedroom residence and t"
16155556,CLAW,2016-08-22,24014 PARK CASINO,1719500.00,4,3,,,"Built-In BBQ,Built-Ins,Range Hood,RangeOven","bedrooms,bathrooms","Gorgeous home with view of Calabasas golf course, Located in the sought after Las Virgenes School District. Nice and bright with an impressive entryway with skylights that opens into the living room o"
16155592,CLAW,2016-08-22,1100 N BEVERLY GLEN,5700.00,3,2,,1,"Range Hood,RangeOven","bedrooms,bathrooms","Stunning Contemporary in Beverly Glen. Centrally located near Bel Air, Beverly Hills, Westwood, and Century City. The home has been tastefully updated with top quality finishes. Features hardwood floo"
316007976,ITECH,2016-08-24,3138 Cloudcrest Road,850000.00,3,2,,,,"bedrooms,bathrooms","Peace, calm and quiet in the hills of La Crescenta, this Traditional-Contemporary home offers what you've been waiting for. Within the last two years this three bedroom,/two bathroom home has been ext"
16156574,CLAW,2016-08-26,1016 OAKWOOD AVE,1450000.00,3,2,,,RangeOven,"bedrooms,bathrooms","AMAZING OPPORTUNITY IN VENICE! Charming beach cottage with 3 bedrooms and one bathroom in main house. Hardwood floors, light and bright, spacious bathroom and laundry inside. Legal back studio with st"
16157428,CLAW,2016-08-29,200 TOYOPA DR,20000000.00,7,5,3,2,"Built-In BBQ,Built-Ins,Range Hood,Microwave,RangeOven,Cooktop - Gas,Double Oven","bedrooms,bathrooms","Perched atop the coveted Huntington area of the Pacific Palisades, this oceanside manor is nothing short of presidential - a rare composition of remarkable stonework flush with ivy and backlit by the "
16157766,CLAW,2016-09-02,16242 SHADOW MOUNTAIN DR,10620000.00,8,8,1,,"Built-In BBQ,Built-Ins,Microwave,RangeOven","bedrooms,bathrooms",Shadow Mountain is an enclave of 46 wonderful estates that enjoy 24 hour live-gated security just minutes from all that Pacific Palisades has to offer. This spectacular property was conceived and cust
16158874,CLAW,2016-09-02,10747 WILSHIRE,720000.00,2,2,,,"Microwave,RangeOven","bedrooms,bathrooms","Prime Wilshire corridor location! Secure building with a 24 hr. doorman. Light and bright luxury unit, the best bargain on the Wilshire corridor. 2 bdrm/ 2 bath updated condo with plantation shutters "
316006757,ITECH,2016-09-02,764 Michigan Boulevard,1898000.00,5,1,1,2,,"bedrooms,bathrooms","The Prairie style architecture of this magnificent home, with its broad eaves, pergola covered porte-cochere and expansive front porch, welcome you home to the tree-shaded parkways and expansive lawns"
16159656,CLAW,2016-09-06,11647 BELLAGIO RD,2400000.00,7,5,,,"Built-Ins,Range Hood,Microwave,RangeOven,Built-In Gas,Cooktop - Gas","bedrooms,bathrooms","Located on one of Bel Air's most coveted streets, this superb property provides an escape from city life to a sanctuary of treetop vistas and glorious views of the Getty Museum and Catalina Island on "
316007560,ITECH,2016-09-06,1406 Wellington Avenue,1088000.00,3,2,,,"Oven,RangeOven","bedrooms,bathrooms","Located in the prestigious Linda Vista neighborhood of Pasadena, this adorable home welcomes you with a beautifully landscaped front yard and charming porch. Cozy living room with fireplace, wood beam"
316008372,ITECH,2016-09-06,2388 North Altadena Drive,1790000.00,6,5,,,"Free Standing Gas,Oven-Gas","bedrooms,bathrooms",House Re-Imagined! It is incredible what can be done for $50K. Come and see the transformation. Canopies of Oaks shelter this one-of-a-kind Rustic Craftsman residence that rests on the banks of Eaton 
16159808,CLAW,2016-09-08,316 N SKYEWIAY RD,3995000.00,5,3,1,1,"Built-Ins,RangeOven","bedrooms,bathrooms","New Construction in the heart of Brentwood. This ""East Coast Beach Cottage"" influenced 5 bedroom, 5 bath home has a flexible open floorplan and works well for daily living and entertaining. The formal"
16160058,CLAW,2016-09-09,545 CATALONIA AVE,2895000.00,4,5,,,"Built-Ins,Range Hood,Microwave,RangeOven","bedrooms,bathrooms","An architectural wonder designed by renowned architect David Kellen, a student of Frank Israel and colleague of Frank Gehry, this neo-modern ranch is perched atop the rolling hills of Pacific Palisade"
16161032,CLAW,2016-09-09,21425 Rambla Vista,450000.00,0,,,,,,"This upslope lot in the desirable La Costa area of Malibu is located less than a minute off of PCH and is in close proximity to shopping, schools, and Santa Monica. Enjoy panoramic ocean and whitewate"
